Point 1: x=50; y=50;
Point 2: x=150; y=50;
Point 3: x=100; y=80;
Point 4: x=250; y=50;
Point 5: x=200; y=100;
Point 6: x=300; y=50;
Point 7: x=350; y=100;
Point 8: x=400; y=50;
Point 9: x=50; y=150;
Point 10: x=150; y=150;
Point 11: x=100; y=200;
Point 12: x=250; y=150;
Point 13: x=200; y=200;
Point 14: x=300; y=150;
Point 15: x=350; y=200;
Point 16: x=400; y=150;
Point 17: x=50; y=250;
Point 18: x=150; y=250;
Point 19: x=100; y=300;
Point 20: x=250; y=250;
Point 21: x=200; y=300;
Point 22: x=300; y=250;
Point 23: x=350; y=300;
Point 24: x=400; y=250;
Point 25: x=50; y=350;
Point 26: x=150; y=350;
Point 27: x=100; y=400;
Point 28: x=250; y=350;
Point 29: x=200; y=400;
Point 30: x=300; y=350;
Point 31: x=350; y=400;
Point 32: x=400; y=350;
Point 33: x=50; y=450;
Point 34: x=150; y=450;
Point 35: x=100; y=500;
Point 36: x=250; y=450;
Point 37: x=200; y=500;
Point 38: x=300; y=450;
Point 39: x=350; y=500;
Point 40: x=400; y=450;
Point 41: x=225; y=75;
Point 42: x=275; y=125;
Point 43: x=125; y=175;
Point 44: x=175; y=225;
Point 45: x=325; y=275;
Point 46: x=375; y=325;
Point 47: x=75; y=375;
Point 48: x=125; y=425;
Point 49: x=275; y=475;
Point 50: x=325; y=525;
